clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
84	ARTIFACT	false	LOW_VAF	1	INV
85	ARTIFACT	false	PAIR_INF	1	INF
86	ARTIFACT	false	PAIR_INF	1	INF
87	ARTIFACT	false	LOW_VAF	1	INV
88	ARTIFACT	false	LOW_VAF	1	INV
89	ARTIFACT	false	PAIR_INF	1	INF
90	ARTIFACT	false	PAIR_INF	1	INF
91	ARTIFACT	false	LOW_VAF	1	BND
92	ARTIFACT	false	LOW_VAF	1	BND
93	ARTIFACT	false	PAIR_INF	1	INF
94	ARTIFACT	false	PAIR_INF	1	INF
95	ARTIFACT	false	PAIR_INF	1	INF
96	ARTIFACT	false	PAIR_INF	1	INF
97	ARTIFACT	false	LOW_VAF	1	INV
98	ARTIFACT	false	PAIR_INF	1	INF
99	ARTIFACT	false	PAIR_INF	1	INF
100	ARTIFACT	false	LOW_VAF	1	INV
101	ARTIFACT	false	PAIR_INF	1	INF
102	ARTIFACT	false	LOW_VAF	1	SGL
103	ARTIFACT	false	LOW_VAF	1	SGL
104	ARTIFACT	false	PAIR_INF	1	INF
105	ARTIFACT	false	PAIR_INF	1	INF
106	ARTIFACT	false	PAIR_INF	1	INF
107	ARTIFACT	false	PAIR_INF	1	INF
108	ARTIFACT	false	PAIR_INF	1	INF
109	ARTIFACT	false	PAIR_INF	1	INF
110	ARTIFACT	false	PAIR_INF	1	INF
111	ARTIFACT	false	LOW_VAF	1	BND
112	ARTIFACT	false	PAIR_INF	1	INF
113	ARTIFACT	false	PAIR_INF	1	INF
114	ARTIFACT	false	PAIR_INF	1	INF
115	ARTIFACT	false	PAIR_INF	1	INF
116	ARTIFACT	false	PAIR_INF	1	INF
117	ARTIFACT	false	PAIR_INF	1	INF
118	ARTIFACT	false	PAIR_INF	1	INF
119	ARTIFACT	false	PAIR_INF	1	INF
120	ARTIFACT	false	PAIR_INF	1	INF
121	ARTIFACT	false	PAIR_INF	1	INF
122	ARTIFACT	false	PAIR_INF	1	INF
123	ARTIFACT	false	PAIR_INF	1	INF
124	ARTIFACT	false	PAIR_INF	1	INF
125	ARTIFACT	false	PAIR_INF	1	INF
126	ARTIFACT	false	PAIR_INF	1	INF
127	ARTIFACT	false	PAIR_INF	1	INF
128	ARTIFACT	false	PAIR_INF	1	INF
129	ARTIFACT	false	PAIR_INF	1	INF
130	ARTIFACT	false	PAIR_INF	1	INF
131	ARTIFACT	false	LOW_VAF	1	INV
132	ARTIFACT	false	PAIR_INF	1	INF
133	ARTIFACT	false	PAIR_INF	1	INF
134	ARTIFACT	false	LOW_VAF	1	SGL
135	ARTIFACT	false	PAIR_INF	1	INF
136	ARTIFACT	false	PAIR_INF	1	INF
137	ARTIFACT	false	PAIR_INF	1	INF
138	ARTIFACT	false	PAIR_INF	1	INF
